Twin 1,Twin 2
53015244289180929727160246095542484392418465326129503973926742505834852241512234564479486629250893541467685386099733836131525750877505831813280199,53015244289180929727160246095542484392418465326129503973926742505834852241512234564479486629250893541467685386099733836131525750877505831813280201
53765744232491409879984524893049788006657946731999475096899916999940252249451564609438669582819159307388738190047841085469028703044217751094356449,53765744232491409879984524893049788006657946731999475096899916999940252249451564609438669582819159307388738190047841085469028703044217751094356451
57907280850852738146879827572378645287912771309240167578775651064893464407835586222347437907388778552264047014047910810007283854605987634966844999,57907280850852738146879827572378645287912771309240167578775651064893464407835586222347437907388778552264047014047910810007283854605987634966845001
58966429219459860782342854214386707196049323888914659057406787527557766775015524650595335579534409858990499940299801362395354087592912545379340799,58966429219459860782342854214386707196049323888914659057406787527557766775015524650595335579534409858990499940299801362395354087592912545379340801
59837116424389309089813932343695490958018658232218799687456549250871100918784139058265069932192766348199465360363071543848705421740515737534912799,59837116424389309089813932343695490958018658232218799687456549250871100918784139058265069932192766348199465360363071543848705421740515737534912801
60113706095331691063945072054225350073452509100761578810942402652972677489185189841448590338155099850685733111442778456272475215701002738178176199,60113706095331691063945072054225350073452509100761578810942402652972677489185189841448590338155099850685733111442778456272475215701002738178176201
61836423224694071100448874036734718028596442004510677164342034976152460024943067374530931458455538760009139593214834815025124072738523091100019999,61836423224694071100448874036734718028596442004510677164342034976152460024943067374530931458455538760009139593214834815025124072738523091100020001
65618264752917570139906260643392279087939705393728373405866817480187471193838848618521702847734640575668070055955463916337178998128527546873438049,65618264752917570139906260643392279087939705393728373405866817480187471193838848618521702847734640575668070055955463916337178998128527546873438051
66497323747235969846070922039152981553995892269495123457486665349515375522076352640839678654829627324937094628895290681153008080823082259453781249,66497323747235969846070922039152981553995892269495123457486665349515375522076352640839678654829627324937094628895290681153008080823082259453781251
66777498262581354745013861304270225731408451584824731310224520109576808998890283233220149855602829415611986972676996825314068435829008433235081799,66777498262581354745013861304270225731408451584824731310224520109576808998890283233220149855602829415611986972676996825314068435829008433235081801
67175506901329143297551667327278620132111059447392788607624891651331269561248404450071661123245595075637832213274312562023513002228905651587644999,67175506901329143297551667327278620132111059447392788607624891651331269561248404450071661123245595075637832213274312562023513002228905651587645001
69151689956909499857395676657286727424634686825506206064274715223347494675293520933179615437483371923349142399169912799043893779056563121533519999,69151689956909499857395676657286727424634686825506206064274715223347494675293520933179615437483371923349142399169912799043893779056563121533520001
74702709418272160437946044976387144705504350308575001021199263589749142169490496800638173442935028990785393618801251014987994957647367301614362049,74702709418272160437946044976387144705504350308575001021199263589749142169490496800638173442935028990785393618801251014987994957647367301614362051
75924900268310704445799379533693363348556341650624791316492720008917631481167927261737517171930546943947330087866499462311774608001119372436646049,75924900268310704445799379533693363348556341650624791316492720008917631481167927261737517171930546943947330087866499462311774608001119372436646051
76687150921458625906559550074079954279904532938052360794975008465291058646528300277307668665608752415930637545666557248407729444077220812038804999,76687150921458625906559550074079954279904532938052360794975008465291058646528300277307668665608752415930637545666557248407729444077220812038805001
77497799345943939897840312947602534314416283864452900414212091603117147072446388461610255159460444995920959109353401306232843202012578892520764049,77497799345943939897840312947602534314416283864452900414212091603117147072446388461610255159460444995920959109353401306232843202012578892520764051
78364273817454250741058817818734041564821458889963968106692985902077784273559888536290442046730220093369250785920457551973673539379816233281217799,78364273817454250741058817818734041564821458889963968106692985902077784273559888536290442046730220093369250785920457551973673539379816233281217801
80924226382169526452353122946351477069019329929179708982730592050695686042188620997083556029501526240063139366894452732370292354055798727988940049,80924226382169526452353122946351477069019329929179708982730592050695686042188620997083556029501526240063139366894452732370292354055798727988940051
81481161910436386789144390485056227292862513243215370209999575979874698324070386798489176068222316143322714912856796931015880580505688177050734449,81481161910436386789144390485056227292862513243215370209999575979874698324070386798489176068222316143322714912856796931015880580505688177050734451
83383014939622350682447359797419052266330376460441759984172543965641342346309154267962740697802709239676887942118758748462518987477249380566506049,83383014939622350682447359797419052266330376460441759984172543965641342346309154267962740697802709239676887942118758748462518987477249380566506051
83555419957572696099136565764519027887604748404079554306329388483110383547483102085443400811280449148122525512927635949971957504040937178181124999,83555419957572696099136565764519027887604748404079554306329388483110383547483102085443400811280449148122525512927635949971957504040937178181125001
83923967111124986897502558637247390908000024157368533720214962655102168216865839283853231077692609562257658961402338084937545655459224755863175199,83923967111124986897502558637247390908000024157368533720214962655102168216865839283853231077692609562257658961402338084937545655459224755863175201
84297976452407065890988864073951037280477410720603085172056596566202789413099889155834309252681570954865885708293468337114997804637164430473604999,84297976452407065890988864073951037280477410720603085172056596566202789413099889155834309252681570954865885708293468337114997804637164430473605001
85683882917377008436316778543037237696984786096269205718207304174297034512972061003711120165518122428124531344433297880526612002287387342624460449,85683882917377008436316778543037237696984786096269205718207304174297034512972061003711120165518122428124531344433297880526612002287387342624460451
87347208535493114425906634759005413026425076344782537862275059895019550986587222187217566518563298688837680078547990117938398720801242304216452049,87347208535493114425906634759005413026425076344782537862275059895019550986587222187217566518563298688837680078547990117938398720801242304216452051
87504705546141931198675184037025745532807469776386571483641823929373984218907406420463811592720403482769927082899160835317750131392191414646288199,87504705546141931198675184037025745532807469776386571483641823929373984218907406420463811592720403482769927082899160835317750131392191414646288201
88590890796054758045849031025329943318299895444196589715430863828602814729808985452175609797812989421631883113603197403964760048290047302485280799,88590890796054758045849031025329943318299895444196589715430863828602814729808985452175609797812989421631883113603197403964760048290047302485280801
88946478274119185378585407053345370370173670681629823053344870178005607236044151173644050593149488442991492832131967630740363802037957224379033799,88946478274119185378585407053345370370173670681629823053344870178005607236044151173644050593149488442991492832131967630740363802037957224379033801
92046323676691867700275586237956210911321384562501140696858213704762928094282254748838919178710726334245395995435986378604993788915593887421166449,92046323676691867700275586237956210911321384562501140696858213704762928094282254748838919178710726334245395995435986378604993788915593887421166451
92997744616492091683550105194880556978175869663496594749374065499310367204612475454294579633297077044252259165389902738308897845677490035681331199,92997744616492091683550105194880556978175869663496594749374065499310367204612475454294579633297077044252259165389902738308897845677490035681331201
94221865645213187197241398255427737544058766534307677009595048050012887166332812359652825690780091449339627666802683320137009373825805223245352449,94221865645213187197241398255427737544058766534307677009595048050012887166332812359652825690780091449339627666802683320137009373825805223245352451
99179468730037368827909993627731964470810224375663268477415886401737922669645034948760442169381900461345217984440342640130532302496248363292455199,99179468730037368827909993627731964470810224375663268477415886401737922669645034948760442169381900461345217984440342640130532302496248363292455201
