Number,Primes +1,Primes -1,Twins,Is Prime
50370,9656,9763,1795,false
50371,2575,2576,163,false
50372,5727,5763,430,false
50373,3788,3744,504,false
50374,4987,5008,332,false
50375,3408,3403,335,false
50376,7371,7399,982,false
50377,2423,2461,135,true
50378,4881,4900,328,false
50379,4313,4240,670,false
50380,6751,6720,660,false
50381,2534,2503,157,false
50382,7237,7361,935,false
50383,2385,2424,161,true
50384,5050,5071,331,false
50385,4641,4540,796,false
50386,5931,5925,484,false
50387,2477,2473,169,true
50388,8822,9056,1390,false
50389,2520,2536,186,false
50390,6147,6025,519,false
50391,3958,4039,540,false
50392,4878,4891,342,false
50393,3029,3045,247,false
50394,7603,7595,996,false
50395,3035,3084,254,false
50396,5018,5040,343,false
50397,3681,3744,472,false
50398,4985,4941,346,false
50399,2456,2399,155,false
50400,10723,10654,2207,false
50401,2617,2710,189,false
50402,5628,5666,387,false
50403,3770,3775,480,false
50404,4899,4897,318,false
50405,3230,3245,273,false
50406,7660,7600,1029,false
50407,3007,3011,220,false
50408,4879,4933,305,false
50409,3631,3589,451,false
50410,6167,6227,530,false
50411,2443,2447,141,true
50412,7305,7367,904,false
50413,2649,2746,192,false
50414,6276,6231,526,false
50415,4646,4620,793,false
50416,5213,5071,351,false
50417,2388,2414,140,true
50418,7312,7344,962,false
50419,2442,2497,151,false
50420,6110,6128,529,false
50421,4216,4282,637,false
50422,5202,5174,351,false
50423,2475,2451,138,true
50424,8140,8010,1123,false
50425,3049,3020,287,false
50426,5182,5142,353,false
50427,4020,3950,552,false
50428,5697,5703,411,false
50429,2458,2433,160,false
50430,9454,9296,1665,false
50431,2657,2666,174,false
50432,4957,4934,305,false
50433,3644,3664,488,false
50434,4989,4937,318,false
50435,3899,4017,460,false
50436,7319,7361,948,false
50437,2495,2535,156,false
50438,4882,4879,309,false
50439,4137,4142,608,false
50440,6620,6661,601,false
50441,2438,2515,169,true
50442,8572,8493,1209,false
50443,2487,2517,162,false
50444,4976,4921,282,false
50445,4947,4857,932,false
50446,5380,5362,381,false
50447,2480,2544,156,false
50448,7323,7398,930,false
50449,2881,2858,216,false
50450,6183,6168,576,false
50451,3768,3771,480,false
50452,4868,4933,309,false
50453,2666,2688,198,false
50454,7330,7399,910,false
50455,3076,3116,252,false
50456,6215,6159,485,false
50457,4048,4078,616,false
50458,4890,4915,322,false
50459,2406,2476,137,true
50460,9492,9487,1700,false
50461,2437,2429,151,true
50462,5137,5077,342,false
50463,4309,4385,657,false
50464,5185,5287,337,false
50465,3093,3019,262,false
50466,8064,7880,1090,false
50467,2455,2453,171,false
50468,5721,5667,441,false
50469,3681,3645,430,false
50470,7167,7227,721,false
50471,2562,2536,165,false
50472,7245,7359,926,false
50473,2625,2552,192,false
50474,4923,4863,321,false
50475,4581,4530,799,false
50476,4860,4877,312,false
50477,2896,2869,224,false
50478,7516,7571,1028,false
50479,2894,2912,229,false
50480,6105,6097,509,false
50481,3823,3772,505,false
50482,5053,4986,321,false
50483,2546,2591,172,false
50484,8613,8619,1390,false
50485,3264,3208,289,false
50486,4909,4921,308,false
50487,3731,3654,488,false
50488,4972,4871,300,false
50489,2582,2541,191,false
50490,10797,10715,2134,false
50491,2833,2847,199,false
50492,5303,5273,378,false
50493,3670,3636,458,false
50494,4873,4921,317,false
50495,3065,3088,275,false
50496,7432,7373,988,false
50497,2466,2436,170,true
50498,5677,5690,413,false
50499,3835,3711,523,false
50500,6199,6219,504,false
50501,2679,2697,210,false
50502,7751,7795,1029,false
50503,2427,2470,150,true
50504,4970,5090,314,false
50505,5953,6023,1399,false
50506,4871,4936,328,false
50507,2610,2612,171,false
50508,7731,7784,1048,false
50509,2484,2529,161,false
50510,6177,6184,533,false
50511,3764,3642,473,false
50512,6589,6399,549,false
50513,2436,2420,156,true
50514,7303,7325,964,false
50515,3082,3022,255,false
50516,5051,4978,317,false
50517,3683,3652,456,false
50518,5483,5575,383,false
50519,2867,2915,216,false
50520,9163,9319,1550,false
50521,2626,2579,202,false
50522,4916,4909,332,false
50523,4048,4033,557,false
50524,5299,5174,364,false
50525,3210,3186,274,false
50526,8541,8766,1296,false
50527,2390,2450,141,true
50528,4920,4880,315,false
50529,3646,3755,460,false
50530,6348,6428,579,false
50531,2751,2736,200,false
50532,7396,7282,910,false
50533,2877,2880,222,false
50534,5396,5332,405,false
50535,4636,4616,798,false
50536,4839,4964,303,false
50537,2467,2462,154,false
50538,7355,7354,951,false
50539,2422,2414,145,true
50540,7540,7646,864,false
50541,3901,3909,538,false
50542,5101,5010,351,false
50543,2420,2439,159,true
50544,8006,7979,1067,false
50545,3412,3342,342,false
50546,4874,4986,305,false
50547,4501,4545,723,false
50548,4892,4856,323,false
50549,2473,2488,145,true
50550,9249,9162,1586,false
50551,2474,2478,152,true
50552,5007,5033,327,false
50553,3840,3764,489,false
50554,6006,6064,497,false
50555,3110,3062,270,false
50556,8100,8088,1147,false
50557,2645,2672,189,false
50558,5310,5232,358,false
50559,3908,3934,510,false
50560,6259,6214,547,false
50561,2985,2953,244,false
50562,7561,7436,1004,false
50563,2558,2515,166,false
50564,4935,4959,325,false
50565,4576,4669,818,false
50566,4914,4959,289,false
50567,2662,2693,191,false
50568,8807,8889,1407,false
50569,2528,2539,182,false
50570,6670,6684,649,false
50571,3681,3661,486,false
