Number,Primes +1,Primes -1,Twins,Is Prime
255,45,49,15,False
256,47,52,8,False
257,19,24,3,True
258,85,77,26,False
259,33,29,4,False
260,66,69,12,False
261,39,43,12,False
262,51,50,7,False
263,23,23,3,True
264,74,87,22,False
265,35,30,7,False
266,67,68,13,False
267,37,41,8,False
268,52,43,4,False
269,27,30,6,True
270,98,96,31,False
271,24,25,4,True
272,48,56,5,False
273,52,51,17,False
274,58,47,7,False
275,36,35,6,False
276,77,91,22,False
277,29,31,1,True
278,50,51,6,False
279,48,42,9,False
280,75,85,18,False
281,27,29,5,True
282,83,86,21,False
283,26,28,4,True
284,62,50,5,False
285,54,56,18,False
286,61,63,7,False
287,29,34,9,False
288,84,82,15,False
289,30,30,6,False
290,71,72,11,False
291,39,50,11,False
292,60,58,7,False
293,28,27,2,True
294,96,94,28,False
295,33,35,4,False
296,57,59,6,False
297,44,45,14,False
298,56,56,9,False
299,28,38,3,False
300,103,108,33,False
301,37,27,4,False
302,55,58,4,False
303,50,41,14,False
304,61,64,8,False
305,42,40,6,False
306,102,89,29,False
307,31,31,4,True
308,68,74,9,False
309,48,50,13,False
310,77,78,15,False
311,29,24,2,True
312,94,95,20,False
313,30,23,3,True
314,62,57,5,False
315,63,62,24,False
316,60,66,9,False
317,25,36,3,True
318,92,98,27,False
319,32,37,5,False
320,77,75,10,False
321,42,48,13,False
322,67,73,7,False
323,29,35,3,False
324,94,88,22,False
325,44,44,9,False
326,64,60,6,False
327,41,49,14,False
328,58,70,8,False
329,32,36,5,False
330,124,123,47,False
331,30,31,5,True
332,52,70,7,False
333,50,46,14,False
334,62,66,5,False
335,37,33,3,False
336,106,105,29,False
337,30,31,5,True
338,66,67,7,False
339,40,53,12,False
340,85,85,15,False
341,40,40,6,False
342,99,104,18,False
343,32,34,5,False
344,68,66,15,False
345,64,71,20,False
346,59,67,5,False
347,34,29,4,True
348,102,99,29,False
349,31,31,2,True
350,99,93,23,False
351,47,56,16,False
352,71,68,10,False
353,29,32,1,True
354,105,99,22,False
355,45,38,6,False
356,59,74,7,False
357,55,57,18,False
358,68,60,7,False
359,35,40,5,True
360,124,121,43,False
361,33,41,5,False
362,74,67,10,False
363,52,58,16,False
364,83,83,14,False
365,36,43,8,False
366,95,112,27,False
367,36,34,2,True
368,69,73,8,False
369,50,46,9,False
370,91,90,16,False
371,42,45,6,False
372,113,112,33,False
373,36,36,4,True
374,84,77,13,False
375,67,60,13,False
376,75,70,9,False
377,38,35,7,False
378,107,125,30,False
379,32,38,5,True
380,92,88,12,False
381,58,55,13,False
382,63,69,5,False
383,35,36,5,True
384,102,105,24,False
385,51,61,12,False
386,77,69,12,False
387,57,52,14,False
388,68,78,5,False
389,32,35,4,True
390,136,151,50,False
